😢 "Он будет жить ради своих детей" 😢  Его жену убил "учалинский стрелок", а он сам еле выбрался с того света. Отец Зарифа Хилажева рассказал о состоянии своего сына.   👉🏻 Видео: https://vk.cc/8ZhO5n№%:№%:2019-01-31 15:10:04№%:№%:23967044
Очередная отставка в верхушке.   Депутаты Курултая Башкирии сегодня единогласно приняли решение и рассмотрели отставку  среди других маловажных вопросов.   https://www.kommersant.ru/doc/3868563№%:№%:2019-01-31 14:50:00№%:№%:23967044
Уфимская пенсионерка в 82 года легко садиться на шпагат.    А еще Члены городского Совета ветеранов играют в пейнтбол, бегают, занимаются лыжным спортом и плавают. Теперь к этому списку добавился боулинг и купание в проруби.    http://www.allufa.ru/news/obshchestvo/aktivnoe-dolgoletie-propagandiruyut-pensionery-ufy/№%:№%:2019-01-31 14:30:03№%:№%:23967044
Радий Хабиров подписал указ о выдаче льготного оборудования для некоторых категорий граждан    Врио главы Башкирии назвал конкретные сроки:    http://ufacitynews.ru/news/2019/01/31/nekotorye-zhiteli-bashkirii-besplatno-poluchat-specialnye-pristavki-dlya-perehoda-na-cifrovoe-televidenie/№%:№%:2019-01-31 14:10:00№%:№%:23967044
Возраст моде не помеха  Модная индустрия обращает внимание не только на юных девушек с идеальными параметрами – бренды приглашают женщин разных возрастов в рекламные кампании. В Уфе же эта тенденция появилась совсем недавно, и понятие «возрастная модель» для многих все еще остается в диковинку. Редакция Likes познакомилась с дамами и попросила их рассказать свою историю.  https://likes.ru/ufa/reviews/1119-vozrast-mode-ne-pomeha№%:№%:2019-01-31 13:50:00№%:№%:23967044
В Уфе около 50 человек, среди них дети и пенсионеры, живут в доме, который вот-вот готов развалиться на глазах.  Жильцы просят признать его аварийным, но ничего добиться не могут.    https://mkset.ru/news/city/30-01-2019/zalozhniki-zhkh-v-ufe-v-odnom-iz-domov-obvalilsya-pol-a-balki-prognili?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-31 13:30:02№%:№%:23967044
В Уфе скорая увезла двух парней в больницу, но спасти их не удалось.  Появились первые подробности происшествия.   https://mkset.ru/news/incident/31-01-2019/v-ufe-dva-parnya-pogibli-zadohnuvshis-v-dymu-v-svoey-kvartire?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-31 13:10:00№%:№%:23967044
Жители Башкирии получили дорожные штрафы с шестизначными цифрами   Оказалось, что такое вполне возможно   http://ufatime.ru/news/2019/01/31/nachalnik-gibdd-nazval-rekordsmena-bashkirii-po-kolichestvu-shtrafov/№%:№%:2019-01-31 12:50:00№%:№%:23967044
Стала известна причина, по которой пропали школьники  Источник UFA1.RU, знакомый с ситуацией, сообщил, что произошло:  https://ufa1.ru/text/gorod/65898721?from=newscol_in№%:№%:2019-01-31 12:30:02№%:№%:23967044
Эксперты рассказали, какие заведения чаще всего открывают в Уфе    Наш город оказался в лидерах по стране    https://news102.ru/world/v-ufe-rezko-vyroslo-kolichestvo-sushi-barov/№%:№%:2019-01-31 12:10:01№%:№%:23967044
Радий Хабиров призвал депутатов Госдумы от Башкирии привлекать больше денег в республику.  На встрече с ним народные избранники похвастались своими успехами. Республику ждет золотой дождь?  Подробности и видео: https://utv.ru/material/radij-habirov-prizval-deputatov-gosdumy-ot-bashkirii-privlekat-bolshe-deneg-v-respubliku/№%:№%:2019-01-31 11:50:00№%:№%:23967044
Стало известно, где были подростки   Их искали по всей Уфе, а нашли сотрудники полиции   http://www.bashinform.ru/news/1267594-v-ufe-vtorye-sutki-ishchut-dvukh-shkolnikov/№%:№%:2019-01-31 11:30:03№%:№%:23967044
⚡ Массовые эвакуации в Башкирии: более 20 объектов по республике, четыре школы в Уфе.  На местах работают сотрудники полиции, скорой, МЧС. Собрали первые подробности, фото и видео с мест происшествия.  https://mkset.ru/video/general/31-01-2019/shkoly-sady-bolnitsy-v-bashkirii-evakuiruyut-uchrezhdeniya-iz-za-zvonkov-o-minirovanii?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-31 11:10:01№%:№%:23967044
В Башкирии прекратили поиски двух пропавших подростков  Об этом добровольцам сообщили полицейские.  https://www.ufa.kp.ru/online/news/3371900/№%:№%:2019-01-31 10:50:00№%:№%:23967044
Какую погоду ожидать в Уфе в выходные?    Будут ли снова снежные пробки?    Подробности: https://news102.ru/world/kakuyu-pogodu-ozhidat-v-ufe-v-vyhodnye/№%:№%:2019-01-31 10:30:03№%:№%:23967044
В Башкирии появились новые выгодные вакансии    Зарплата достойная!    http://i-gazeta.com/news/region102/40684.html№%:№%:2019-01-31 10:10:00№%:№%:23967044
Цифровое ТВ в Башкирии: кто и как может получить господдержку   В правительстве разъяснили подробности получения господдержки на спутниковое оборудование  http://www.ufa.aif.ru/society/details/cifrovoe_tv_v_bashkirii_kto_i_kak_imeet_mozhet_poluchit_gospodderzhku№%:№%:2019-01-31 09:50:00№%:№%:23967044
У Светланы Тейц из Башкирии инвалидность третьей группы. Живет в одиночестве, сын погиб при прохождении срочной службы.  Никакой помощи от местных и республиканских властей не получает. Ранее о ней рассказывали в СМИ. Мы решили узнать подробности истории и она оказалась несколько иной.  https://mkset.ru/news/society/30-01-2019/my-ne-o-morali-prishli-sudit-v-bashkirii-invalidu-pomogli-reshit-problemy-s-zhiliem?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-31 09:30:02№%:№%:23967044
«После трагедии муж собирал деньги с какой-то чужой женщиной, и все потратил на себя»  Молодую маму из Башкирии, оставшуюся на улице с маленьким ребенком на руках и без ничего, добил собственный супруг.  https://www.ufa.kp.ru/daily/26936.4/3986201/№%:№%:2019-01-31 09:10:00№%:№%:23967044
Проект "Радость нашего дома" телеканала "Вся Уфа" принёс первые плоды.    Два брата верили, что в огромном мире обязательно найдутся те, кто скажет им: "Вы – радость нашего дома". И вот теперь их приехали забрать домой мама и папа.    http://www.allufa.ru/news/obshchestvo/telekanal-vsya-ufa-prodolzhaet-proekt-radost-nashego-doma/№%:№%:2019-01-31 08:50:00№%:№%:23967044
Стало известно, сколько жителям Башкирии в среднем не хватает до зарплаты  Сумма немалая. Сравните со своей:  http://ufatime.ru/news/2019/01/30/eksperty-vyyasnili-skolko-deneg-zhitelyam-bashkirii-obychno-ne-hvataet-do-zarplaty/№%:№%:2019-01-31 08:30:02№%:№%:23967044
В этом году начнут строить прямой выезд из проблемного микрорайона Уфы   Из того самого, где скоро появится новый большой торговый центр  http://ufacitynews.ru/news/2019/01/31/ulfat-mustafin-rasskazal-kakoe-budushee-zhdet-inors/№%:№%:2019-01-31 08:10:00№%:№%:23967044
Вынуждают брать старые авто за сотни тысяч: уфимский автосалон зарабатывает на доверии людей?    «Ведра» втридорога и под громадный процент. Десятки жителей Башкирии в шоке, они сами не поняли, как попались на удочку хитроумных продавцов автомобилей.    Подробнее: https://vk.cc/8ZbKf6№%:№%:2019-01-31 07:50:00№%:№%:23967044
Чиновник, убиравший снег в Уфе, оказался фейком!  В понедельник днём, 28 января, в Сети появилось видео, на котором некий уфимский «чиновник» чистит снег на улице Ленина в то время, как группа настоящих дворников за этим наблюдает. Ни одно из городских и республиканских ведомств при этом оказалось непричастно к этой истории.  Целые сутки уфимцы гадали, кто этот госслужащий, и чем обусловлен его поступок: «Видимо в карты проиграл на работе», «Скорее всего чиновника приговорили к 100 часам работы», «Вот нечего было с ВРИО главы играть в камень-ножницы-бумага», «Наверное, айфон потерял в этом районе», «Может, какой-то мажор устал от богатой жизни и решил побыть немного крестьянином, покидать снег вместе с отрядом оранжевых»… Сегодня же стало известно, что «чиновник» оказался актером, нанятым каналом ТНТ в целях проведения акции «Заставь чиновника работать!». Кампания направлена на привлечение внимания к сериалу «Год культуры», который стартует в следующий понедельник в 20:00 эфире телеканала ТНТ.  По сюжету, после прямой линии с Путиным, московского чиновника из министерства образования в наказание отправляют в провинциальный ВУЗ, который он в кратчайшие сроки должен превратить в один из лучших, или его карьере наступит конец. В ролях: Фёдор Бондарчук, Риналь Мухаметов, Александр Яценко, Игорь Угольников, Александр Лыков и другие звезды российского кино.№%:№%:2019-01-31 06:50:00№%:№%:23967044
Спрос на уборку снега в Уфе вырос вдвое    Эксперты сравнили цены на услугу в разных городах страны    https://news102.ru/world/spros-na-uborku-snega-v-ufe-vyros-vdvoe/№%:№%:2019-01-31 06:30:01№%:№%:23967044
🔥 В Башкирии обанкротился один из самых успешных колхозов 🔥    Более 100 человек осталось без зарплаты. Что же будет дальше? 😨   👉🏻 Подробнее + видео: https://bash.news/news/89071_v_bashkirii_bolee_100_chelovek_ostalis_bez_raboty_i_deneg_izza_bankrotstva_kolxoza№%:№%:2019-01-31 06:10:00№%:№%:23967044
Радий Хабиров назвал сроки реконструкции важного объекта в Сибае  Все экспертизы уже пройдены   http://ufacitynews.ru/news/2019/01/31/radij-habirov-nazval-srok-rekonstrukcii-sportkompleksa-v-sibae/№%:№%:2019-01-31 05:50:00№%:№%:23967044
В Уфе наконец-то будет свой городской приют для собак и кошек  Место для него уже выбрали   http://ufatime.ru/news/2019/01/31/v-ufe-na-razrabotku-proekta-priyuta-dlya-sobak-i-koshek-vydelili-2-mln-rublej/№%:№%:2019-01-31 05:30:00№%:№%:23967044
Глава администрации Сибая Рустем Афзалов сообщил, когда будут готовы отправить в крымские санатории детей.   К этому времени медработники должны завершить обследование и подготовку медицинских карт.  https://www.kommersant.ru/doc/3868111№%:№%:2019-01-31 05:10:00№%:№%:23967044
В Башкирии бушует вирус - заболели тысячи детей и взрослых  В Уфе начинается эпидемия:  http://i-gazeta.com/news/region102/40685.html№%:№%:2019-01-30 22:10:00№%:№%:23967044
Властям Башкирии срочно нужен свой самолёт и вертолёт  На это выделили 11,7 млн рублей: https://ufa.rbc.ru/ufa/30/01/2019/5c5181f89a7947e06b5a8c77?from=regional_newsfeed№%:№%:2019-01-30 21:50:00№%:№%:23967044
Завтра утром водителей Уфы ждут массовые проверки   Инспекторы будут останавливать машины  http://ufatime.ru/news/2019/01/30/zavtra-utrom-voditelej-ufy-zhdut-massovye-proverki/№%:№%:2019-01-30 21:30:02№%:№%:23967044
«Она мне не понравилась — была слишком старой. Ее это очень разозлило», - так студент уфимского вуза оценил встречу с проституткой  Нигериец, обвиняемый в изнасиловании уфимки, рассказал свою версию произошедшего. Подробности скандальной истории:  https://ufa1.ru/text/criminal/65887781?from=newscol_in№%:№%:2019-01-30 21:10:00№%:№%:23967044
Многие студенты так подрабатывают    Но они даже не представляют, какие могут быть последствия!    Смотрите видеосюжет: http://www.allufa.ru/news/obshchestvo/chto-grozit-za-nezakonnoe-razmeshchenie-reklamy/№%:№%:2019-01-30 20:50:00№%:№%:23967044
«Мусорная реформа»: первый месяц действия в Башкирии  ГорОбзор.ру рассказывает, за что мы платим и чего ожидать по факту:  https://gorobzor.ru/novosti/obschestvo/22216-musornaya-reforma-pervyy-mesyac-deystviya-v-bashkirii№%:№%:2019-01-30 20:30:03№%:№%:23967044
Защитник ФК «Уфа» - о невиданном ранее сопернике    Оказывается, не все команды еще известны   Подробности: https://news102.ru/sport/zaschitnik-fk-ufa-boyan-yokich-vazhno-chtoby-u-nas-ne-bylo-travm/№%:№%:2019-01-30 20:10:04№%:№%:23967044
Первый замглавы Минздрава Башкирии: «Воздух в Сибае - как в природном санатории»   Неожиданное заявление сделал Рафаэль Яппаров, прибывший в город, который второй месяц страдает от смога.  http://www.ufa.aif.ru/society/details/pervyy_zamglavy_minzdrava_bashkirii_v_sibae_-_kak_v_prirodnom_sanatorii№%:№%:2019-01-30 19:50:00№%:№%:23967044
Бумажная бахрома. В Уфе будут бороться с нелегальными объявлениями томским методом.  Нарушителям уже можно начинать бояться?  https://utv.ru/material/bumazhnaya-bahroma-v-ufe-budut-borotsya-s-obyavleniyami-tomskim-metodom/№%:№%:2019-01-30 19:30:04№%:№%:23967044
«Пинали ногами и выбили зубы»: в медколледже Уфы избили студентку-сироту  Пострадавшая 17-летняя девушка забрала заявление из полиции. Впрочем, обо всем по порядку:  https://ufa1.ru/text/incidents/65896801?utm_source=yxnews&utm_medium=desktop№%:№%:2019-01-30 19:10:06№%:№%:23967044
Ее ищут уже девять лет  Родственники поделились подробностями странного исчезновения Наили Шариповой из Башкирии. Поиски никто не бросает.  https://www.ufa.kp.ru/online/news/3371007/№%:№%:2019-01-30 18:50:00№%:№%:23967044
Прокуратура Сибая подала в суд на местную администрацию и филиал Учалинского ГОК.  Надзорное ведомство требует признать незаконным бездействие администрации при решении проблемы.  https://www.kommersant.ru/doc/3867934№%:№%:2019-01-30 18:30:05№%:№%:23967044
